Title,Price,Details,Features,Description,Category,Address
Samsung M40 6/128 intack packet (New),"Tk 17,100","Condition:
New
Brand:
Samsung
Model:
M40
Edition:
6/128 intack packet
Authenticity:
Original","Features
Bluetooth, Camera, Dual-Lens Camera, Dual SIM, Fingerprint Sensor, 3G, 4G, Touch screen","..…............এক দাম
মার্কেটে চলেঃ ২২ হাজার টাকা কিন্তু আমার কাছে কম এ পাচ্ছন
নতুন মোবাইল 
official phone... 
1 year waranty...
Snapdragon...............675 pocessor",Mobiles,https://bikroy.com/en/ad/samsung-m40-6-128-intack-packet-new-for-sale-barishal
Samsung Galaxy S10 Plus Official 128GB (New),"Tk 40,999
Negotiable","Condition:
New
Brand:
Samsung
Model:
Galaxy S10 Plus
Edition:
Official 128GB
Authenticity:
Original","Features
Bluetooth, Dual SIM, Expandable Memory, Fingerprint Sensor, 4G, Touch screen","Samsung S10 plus 128GB  Duel sim full boxd availabile call me 
Orginal pic uploaded 100% Fresh Condition 
100% fresh set 
Ram 8GB
ROM 128GB ",Mobiles,https://bikroy.com/en/ad/samsung-galaxy-s10-plus-official-128gb-new-for-sale-chattogram
Vevo ba realme phone lagbe,Not Found,,Not Found,Valo lagbe,Mobiles,https://bikroy.com/en/ad/vevo-ba-realme-phone-lagbe-to-buy-dhaka
Vivo Y15 শুধু ফোন আছে (Used),"Tk 9,000","Condition:
Used
Brand:
Vivo
Model:
Y15
Edition:
শুধু ফোন আছে
Authenticity:
Original","Features
Bluetooth, Camera, Dual-Lens Camera, Dual SIM, Expandable Memory, Fingerprint Sensor, GPS, Physical keyboard, Motion Sensors, 3G, 4G, GSM, Touch screen",4/64GB red/black colour,Mobiles,https://bikroy.com/en/ad/vivo-y15-shudhu-phon-aache-used-for-sale-rajshahi-division
Apple iPhone 7 (Used),"Tk 13,000
Negotiable","Condition:
Used
Brand:
Apple
Model:
iPhone 7
Authenticity:
Original","Features
Bluetooth, Camera, Fingerprint Sensor, GPS, 4G, Touch screen","Full fresh.battery health 75%
32gb rom 2gb ram",Mobiles,https://bikroy.com/en/ad/apple-iphone-7-used-for-sale-dhaka-division-729
OPPO F17 Pro official (New),"Tk 25,990","Condition:
New
Brand:
OPPO
Model:
F17 Pro
Edition:
F17 pro official
Authenticity:
Original","Features
Bluetooth, Camera, Dual-Lens Camera, Dual SIM, Expandable Memory, Fingerprint Sensor, GPS, Physical keyboard, Motion Sensors, 3G, 4G, GSM, Touch screen","F17 pro official 
Free delivery with in 1 day in Dhaka city",Mobiles,https://bikroy.com/en/ad/oppo-f17-pro-official-new-for-sale-dhaka-17
Xiaomi Redmi Note 4 3/32GB (Used),"Tk 6,499","Condition:
Used
Brand:
Xiaomi
Model:
Redmi Note 4
Edition:
3/32GB
Authenticity:
Original","Features
Bluetooth, Camera, Dual SIM, Expandable Memory, Fingerprint Sensor, GPS, Motion Sensors, 3G, 4G, GSM, Touch screen","আসসালামু আলাইকুম।
আল আমিন মোবাইল পয়েন্ট "" এর পক্ষ থেকে সবাইকে জানাই শুভেচ্ছা।
⚠️⚠️⚠️ করোনা মহামারীর জন্যে লকডাউন দেওয়া হয়েছে। কিন্তু আপনারা আমাদের কাছ থেকে মোবাইল ক্রয় করতে পারবেন সেক্ষেত্রে আমাদের কাছ থেকে সরাসরি মোবাইল নিয়ে যেতে হবে।",Mobiles,https://bikroy.com/en/ad/xiaomi-redmi-note-4-3-32gb-used-for-sale-dhaka-division-21
Huawei Y6p 2/32gb (Used),"Tk 7,500","Condition:
Used
Brand:
Huawei
Model:
Y6p
Edition:
2/32gb
Authenticity:
Original","Features
Bluetooth, Camera, Dual-Lens Camera, Dual SIM, Expandable Memory, Fingerprint Sensor, GPS, Physical keyboard, Motion Sensors, 3G, 4G, GSM, Touch screen",No problem,Mobiles,https://bikroy.com/en/ad/huawei-y6p-2-32-used-for-sale-chattogram
Samsung Galaxy S8 Plus 4/64 Full Fresh (Used),"Tk 16,000","Condition:
Used
Brand:
Samsung
Model:
Galaxy S8 Plus
Edition:
4/64 Full Fresh
Authenticity:
Original","Features
Bluetooth, Camera, Expandable Memory, Fingerprint Sensor, GPS, Physical keyboard, Motion Sensors, 3G, 4G, GSM, Touch screen",Phone Band New Condition for Saudi coming no box only charger paban emergency taka dorkar ar jono sell debo jara neta chan sodo tara call din & neta chila location a asta hoba..,Mobiles,https://bikroy.com/en/ad/samsung-galaxy-s8-plus-4-64-full-fresh-used-for-sale-dhaka-division
OPPO F17 Pro (New),"Tk 25,499","Condition:
New
Brand:
OPPO
Model:
F17 Pro
Authenticity:
Original","Features
Bluetooth, Camera, Dual-Lens Camera, Dual SIM, Fingerprint Sensor, GPS, Motion Sensors, 3G, 4G, GSM, Touch screen","ব্র্যান্ড নিউ অফিসিয়াল অপ্পো ফোন দিচ্ছি আমরা সাথে ইনটেক বাক্স বর্তমান করোনা কালীন সময় এর জন্য আমরা হোম ডেলিভারি দিয়ে থাকছি আপনারা নিশ্চিন্তে কিনতে পারেন অথবা বিস্তারিত তথ্যের জন্য আমাদের দেয়া মোবাইল নম্বর টি তে যোগাযোগ করুন 
Oppo F17 Pro Full Specifications:",Mobiles,https://bikroy.com/en/ad/oppo-f17-pro-new-for-sale-rajshahi-6
Samsung Note 10+ 12/512gb Full Fresh (Used),"Tk 48,900","Condition:
Used
Brand:
Samsung
Model:
Note 10+
Edition:
12/512gb Full Fresh
Authenticity:
Original",Not Found,"🔥🔥Samsung Galaxy note10 plus. 
Black edition. 
12gb ram and 512gb rom version. 
Very limited used. 
100% brand new conditions. ",Mobiles,https://bikroy.com/en/ad/samsung-note-10-12-512gb-full-fresh-used-for-sale-dhaka
Apple iPhone X (Used),"Tk 40,000","Condition:
Used
Brand:
Apple
Model:
iPhone X
Authenticity:
Original","Features
Bluetooth, Camera, Dual-Lens Camera, Fingerprint Sensor, GPS, Physical keyboard, Motion Sensors, 3G, 4G, GSM, Touch screen","Phone all ok
Full fresh 
Iphone x 256gb
Emergency sell",Mobiles,https://bikroy.com/en/ad/apple-iphone-x-used-for-sale-mymensingh-25
Samsung galaxy A30S original mobile ar Lcd lagbe,Not Found,,Not Found,"Samsung galaxy A30S original mobile ar Lcd lagbe khulnar vitor hote hobe,,,,,,,,,,",Mobiles,https://bikroy.com/en/ad/samsung-galaxy-a30s-original-mobile-ar-lcd-lagbe-to-buy-khulna
Nokia 230 . (Used),"Tk 2,500
Negotiable","Condition:
Used
Brand:
Nokia
Model:
230
Edition:
.
Authenticity:
Original","Features
Bluetooth, Camera, Dual-Lens Camera, Dual SIM, Expandable Memory, GPS, 3G, 4G",Kono problem nai full fresh.Nokia 230 made in Vietnam 2din charge thake only phone debo.pryojone call korun..,Mobiles,https://bikroy.com/en/ad/nokia-230-used-for-sale-dhaka-615
Vivo Y11 (Used),"Tk 11,000","Condition:
Used
Brand:
Vivo
Model:
Y11
Edition:
vivo y11
Authenticity:
Original","Features
Bluetooth, Camera, Dual-Lens Camera, Dual SIM, Expandable Memory, Fingerprint Sensor, GPS, Physical keyboard, Motion Sensors, 3G, GSM, Touch screen",11 din age phone kinechi... 11 days use only... Sell korbo cz i need money,Mobiles,https://bikroy.com/en/ad/vivo-y11-used-for-sale-dhaka-678
Xiaomi mobile (Used),"Tk 10,000
Negotiable","Condition:
Used
Brand:
Xiaomi
Model:
Other model
Edition:
mobile
Authenticity:
Original","Features
Bluetooth, Camera, Fingerprint Sensor, GPS, 3G, GSM, Touch screen","কোন পবলেম নাই,টাকা এর দরকার তাই বিকরি করবো",Mobiles,https://bikroy.com/en/ad/realme-7-used-for-sale-dhaka-division-29
